,Weight Room,Date,time,count
0,2.0,2015-08-04,06:30am ,19.0
1,2.0,2015-08-05,06:30am ,20.0
2,2.0,2015-08-06,06:30am ,21.0
3,2.0,2015-08-07,06:30am ,11.0
4,2.0,2015-08-08,06:30am ,
5,2.0,2015-08-09,06:30am ,
6,2.0,2015-08-10,06:30am ,20.0
7,2.0,2015-08-11,06:30am ,13.0
8,2.0,2015-08-12,06:30am ,7.0
9,2.0,2015-08-13,06:30am ,13.0
10,2.0,2015-08-14,06:30am ,13.0
11,2.0,2015-08-15,06:30am ,14.0
12,2.0,2015-08-16,06:30am ,
13,2.0,2015-08-17,06:30am ,
14,2.0,2015-08-18,06:30am ,
15,2.0,2015-08-19,06:30am ,27.0
16,2.0,2015-08-20,06:30am ,12.0
17,2.0,2015-08-21,06:30am ,16.0
18,2.0,2015-08-22,06:30am ,
19,2.0,2015-08-23,06:30am ,
20,2.0,2015-08-24,06:30am ,54.0
21,2.0,2015-08-25,06:30am ,53.0
22,2.0,2015-08-26,06:30am ,40.0
23,2.0,2015-08-27,06:30am ,48.0
24,2.0,2015-08-28,06:30am ,25.0
25,2.0,2015-08-29,06:30am ,
26,2.0,2015-08-30,06:30am ,
27,2.0,2015-08-31,06:30am ,54.0
28,2.0,2015-09-01,06:30am ,29.0
29,2.0,2015-09-02,06:30am ,44.0
30,2.0,2015-09-03,06:30am ,20.0
31,2.0,2015-09-04,06:30am ,15.0
32,2.0,2015-09-05,06:30am ,
33,2.0,2015-09-06,06:30am ,
34,2.0,2015-09-07,06:30am ,2.0
35,2.0,2015-09-08,06:30am ,24.0
36,2.0,2015-09-09,06:30am ,38.0
37,2.0,2015-09-10,06:30am ,53.0
38,2.0,2015-09-11,06:30am ,25.0
39,2.0,2015-09-12,06:30am ,
40,2.0,2015-09-13,06:30am ,
41,2.0,2015-09-14,06:30am ,67.0
42,2.0,2015-09-15,06:30am ,48.0
43,2.0,2015-09-16,06:30am ,43.0
44,2.0,2015-09-17,06:30am ,31.0
45,2.0,2015-09-18,06:30am ,12.0
46,2.0,2015-09-19,06:30am ,
47,2.0,2015-09-20,06:30am ,
48,2.0,2015-09-21,06:30am ,85.0
49,2.0,2015-09-22,06:30am ,41.0
50,2.0,2015-09-23,06:30am ,40.0
51,2.0,2015-09-24,06:30am ,50.0
52,2.0,2015-09-25,06:30am ,25.0
53,2.0,2015-09-26,06:30am ,
54,2.0,2015-09-27,06:30am ,
55,2.0,2015-09-28,06:30am ,40.0
56,2.0,2015-09-29,06:30am ,37.0
57,2.0,2015-09-30,06:30am ,25.0
58,1.0,2015-08-04,06:30am ,28.0
59,1.0,2015-08-05,06:30am ,32.0
60,1.0,2015-08-06,06:30am ,35.0
61,1.0,2015-08-07,06:30am ,22.0
62,1.0,2015-08-08,06:30am ,
63,1.0,2015-08-09,06:30am ,
64,1.0,2015-08-10,06:30am ,31.0
65,1.0,2015-08-11,06:30am ,32.0
66,1.0,2015-08-12,06:30am ,34.0
67,1.0,2015-08-13,06:30am ,38.0
68,1.0,2015-08-14,06:30am ,28.0
69,1.0,2015-08-15,06:30am ,
70,1.0,2015-08-16,06:30am ,
71,1.0,2015-08-17,06:30am ,
72,1.0,2015-08-18,06:30am ,
73,1.0,2015-08-19,06:30am ,35.0
74,1.0,2015-08-20,06:30am ,26.0
75,1.0,2015-08-21,06:30am ,39.0
76,1.0,2015-08-22,06:30am ,
77,1.0,2015-08-23,06:30am ,
78,1.0,2015-08-24,06:30am ,112.0
79,1.0,2015-08-25,06:30am ,88.0
80,1.0,2015-08-26,06:30am ,86.0
81,1.0,2015-08-27,06:30am ,77.0
82,1.0,2015-08-28,06:30am ,33.0
83,1.0,2015-08-29,06:30am ,
84,1.0,2015-08-30,06:30am ,
85,1.0,2015-08-31,06:30am ,118.0
86,1.0,2015-09-01,06:30am ,107.0
87,1.0,2015-09-02,06:30am ,67.0
88,1.0,2015-09-03,06:30am ,85.0
89,1.0,2015-09-04,06:30am ,56.0
90,1.0,2015-09-05,06:30am ,
91,1.0,2015-09-06,06:30am ,
92,1.0,2015-09-07,06:30am ,7.0
93,1.0,2015-09-08,06:30am ,54.0
94,1.0,2015-09-09,06:30am ,66.0
95,1.0,2015-09-10,06:30am ,76.0
96,1.0,2015-09-11,06:30am ,28.0
97,1.0,2015-09-12,06:30am ,
98,1.0,2015-09-13,06:30am ,
99,1.0,2015-09-14,06:30am ,86.0
